Code	Name	Cash Buying	Telegraphic Buying	Selling	Time	Date	Source	Crawled Date	Crawled Time
USD	-	24075.00	24105.00	24425.00	09:00:00	03/12/2023	Agribank	03/12/2023	14:08:11
EUR	-	26022.00	26127.00	26816.00	09:00:00	03/12/2023	Agribank	03/12/2023	14:08:11
GBP	-	30116.00	30298.00	31091.00	09:00:00	03/12/2023	Agribank	03/12/2023	14:08:11
HKD	-	3044.00	3056.00	3157.00	09:00:00	03/12/2023	Agribank	03/12/2023	14:08:11
CHF	-	27285.00	27395.00	28143.00	09:00:00	03/12/2023	Agribank	03/12/2023	14:08:11
JPY	-	161.52	162.17	166.47	09:00:00	03/12/2023	Agribank	03/12/2023	14:08:11
AUD	-	15761.00	15824.00	16290.00	09:00:00	03/12/2023	Agribank	03/12/2023	14:08:11
SGD	-	17894.00	17966.00	18369.00	09:00:00	03/12/2023	Agribank	03/12/2023	14:08:11
THB	-	671.00	674.00	706.00	09:00:00	03/12/2023	Agribank	03/12/2023	14:08:11
CAD	-	17655.00	17726.00	18122.00	09:00:00	03/12/2023	Agribank	03/12/2023	14:08:11
NZD	-		14759.00	15249.00	09:00:00	03/12/2023	Agribank	03/12/2023	14:08:11
KRW	-		17.87	19.55	09:00:00	03/12/2023	Agribank	03/12